country,lat,lon,mean_err_km
"Antarctica",-77.16987521415838,-177.56451613408842,14617.2
"Timor-Leste",-8.809894630601962,125.95024049562659,6175.7
"Réunion",-21.119825460665105,55.54393506194689,5508.3
"Canada",57.550480044655636,-98.41680517868062,5468.3
"Greenland",74.16847218965994,-42.07567788066985,5248.0
"Kiribati",1.8676673749241066,-157.39024189323504,4604.9
"French Southern Territories",-49.26329687105643,69.54686984724839,4297.3
"United States",38.8208089190304,-96.33161660829639,4283.2
"Saint Pierre and Miquelon",46.95153913615198,-56.32465353437558,4247.4
"Chile",-37.82938283049967,-70.76863431739216,4042.0
"Pitcairn",-24.366121747565458,-128.3149848627581,4036.5
"Palau",7.534775852547396,134.57965086721052,3948.7
"Seychelles",-4.660002318822744,55.47250789595527,3881.3
"Argentina",-35.697270518120085,-64.53238503843076,3855.1
"French Polynesia",-17.674684080120677,-149.40041671099763,3795.7
"New Zealand",-43.82765432544426,170.69035541428696,3780.3
"Glorioso Islands",-11.566224871643417,47.290948081543384,3695.6
"Uruguay",-32.78195043831093,-56.01919523458085,3681.9
"Mauritius",-20.28142317475198,57.56415671066546,3570.9
"Svalbard",78.57318936469626,16.036378851505283,3551.3
"Saint Helena",-15.962963318340398,-5.717391620813109,3443.9
"Japan",36.76738832597829,137.46934234351835,3331.3
"Mexico",23.87436068093592,-101.55399731630118,3314.7
"American Samoa",-14.305711987770538,-170.7007316174498,3223.0
"Morocco",28.687598134979325,-8.817212587250811,3203.0
"United States Minor Outlying Islands",19.302045812215958,166.63800339749642,3142.5
"Mauritania",20.466731212820022,-10.495079045035716,3086.9
"Brazil",-11.524630416426652,-54.355206608256424,3060.4
"Brunei Darussalam",4.543205889917609,114.6430958360464,3013.7
"Gambia",13.428617959189328,-15.383380385869662,2973.8
"Russian Federation",59.039434214106194,98.6704990698032,2971.3
"Costa Rica",9.863467407406214,-84.14673625701816,2969.8
"US Virgin Islands",17.738009708772523,-64.76155341409797,2944.2
